utterance_id,language,length_group,WER_speech,WER_singing,delta_WER,CER_speech,CER_singing,delta_CER,substitutions_speech,deletions_speech,insertions_speech,substitutions_singing,deletions_singing,insertions_singing,duration_speech,duration_singing,singing_mean_f0,singing_f0_std,singing_f0_range,singing_rms
en_01,English,short,0.0,0.3333333333333333,0.3333333333333333,0.0,0.1176470588235294,0.1176470588235294,0,0,0,1,1,0,3.5186875,5.14,300.0429582340711,77.56200456567817,134.08767927431398,0.0827748104929924
en_02,English,short,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.604,5.4813125,319.22556049281707,71.60604132998535,132.6486958801242,0.0686005204916
en_03,English,short,0.1428571428571428,0.0,-0.1428571428571428,0.0952380952380952,0.0,-0.0952380952380952,1,0,0,0,0,0,3.604,6.5906875,304.0567618712119,80.15361233954667,133.2392069314826,0.0555722415447235
en_04,English,medium,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4.5426875,7.444,302.73049488675787,65.35599251962498,118.4954251323768,0.0931870266795158
en_05,English,medium,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4.372,7.5293125,287.4992515682084,94.2630644529027,286.411524296256,0.0576281137764453
en_06,English,medium,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3478260869565217,0.3478260869565217,0,0,0,5,0,1,4.116,7.3586875,317.9779907786647,43.46981052736778,122.14575084164198,0.0942838191986084
en_07,English,long,0.0,1.0,1.0,0.0,0.4210526315789473,0.4210526315789473,0,0,0,6,0,4,5.3106875,8.6386875,315.1990542542557,69.5681087709458,128.56368861978223,0.0649631097912788
en_08,English,long,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.0546875,7.956,291.62692353494623,84.694350651894,275.592578617064,0.0852002948522567
en_09,English,long,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0408163265306122,0.2040816326530612,0.163265306122449,1,0,0,3,0,0,5.14,8.3826875,296.7606633529386,93.6948385004244,312.3339819695105,0.0856682509183883
fr_01,French,short,0.1666666666666666,0.5,0.33333333333333337,0.0666666666666666,0.2,0.13333333333333341,1,0,0,2,1,0,2.7506875,4.9693125,300.9413015239929,72.09639937099817,121.7679545224804,0.1066724061965942
fr_02,French,short,0.0,0.7142857142857143,0.7142857142857143,0.0,0.3513513513513513,0.3513513513513513,0,0,0,3,2,0,3.5186875,5.4813125,296.43297116136966,71.52262762287317,135.58657924864093,0.0478107370436191
fr_03,French,short,0.1428571428571428,0.7142857142857143,0.5714285714285715,0.0294117647058823,0.2647058823529412,0.23529411764705888,1,0,0,4,1,0,2.9213125,6.164,294.76080148773434,87.95586268238442,321.46126239837247,0.0531483739614486
fr_04,French,medium,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4.5426875,7.5293125,311.61665057033525,62.59483064156222,119.12065197153872,0.0886746942996978
fr_05,French,medium,0.5,0.375,-0.125,0.3333333333333333,0.1041666666666666,-0.2291666666666667,4,0,0,2,0,1,4.2013125,7.188,291.0446147936015,92.52551866378737,305.9261842702628,0.054066814482212
fr_06,French,medium,0.75,0.875,0.125,0.3278688524590163,0.4590163934426229,0.1311475409836066,4,0,2,6,0,1,4.4573125,7.6146875,312.22026289217274,61.799652433654245,112.96272664956211,0.0815288946032524
fr_07,French,long,0.2222222222222222,1.0,0.7777777777777778,0.05,0.4333333333333333,0.3833333333333333,2,0,0,7,0,2,5.2253125,7.956,309.1286577879817,68.83822914054396,139.41920886529124,0.0896162763237953
fr_08,French,long,0.2727272727272727,0.7272727272727273,0.4545454545454546,0.1846153846153846,0.2615384615384615,0.0769230769230769,2,1,0,5,3,0,5.2253125,8.0413125,307.3435046246985,67.02770004143011,144.4552680456661,0.0846972689032554
fr_09,French,long,0.1111111111111111,0.1111111111111111,0.0,0.0307692307692307,0.0153846153846153,-0.015384615384615401,1,0,0,1,0,0,5.396,8.2973125,299.8774741201389,88.84990775719369,306.16426894432834,0.110958844423294
