language,mode,length_group,n,mean_WER,median_WER,mean_CER,median_CER,mean_substitutions,mean_deletions,mean_insertions
English,singing,short,3,0.1111111111111111,0.0,0.0392156862745098,0.0,0.3333333333333333,0.3333333333333333,0.0
English,singing,medium,3,0.2222222222222222,0.0,0.11594202898550725,0.0,1.6666666666666667,0.0,0.3333333333333333
English,singing,long,3,0.4444444444444444,0.3333333333333333,0.20837808807733618,0.20408163265306123,3.0,0.0,1.3333333333333333
English,speech,short,3,0.047619047619047616,0.0,0.031746031746031744,0.0,0.3333333333333333,0.0,0.0
English,speech,medium,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English,speech,long,3,0.037037037037037035,0.0,0.013605442176870748,0.0,0.3333333333333333,0.0,0.0
French,singing,short,3,0.6428571428571429,0.7142857142857143,0.2720190779014309,0.2647058823529412,3.0,1.3333333333333333,0.0
French,singing,medium,3,0.4166666666666667,0.375,0.18772768670309656,0.10416666666666667,2.6666666666666665,0.0,0.6666666666666666
French,singing,long,3,0.6127946127946128,0.7272727272727273,0.23675213675213677,0.26153846153846155,4.333333333333333,1.0,0.6666666666666666
French,speech,short,3,0.10317460317460318,0.14285714285714285,0.03202614379084967,0.029411764705882353,0.6666666666666666,0.0,0.0
French,speech,medium,3,0.4166666666666667,0.5,0.22040072859744989,0.32786885245901637,2.6666666666666665,0.0,0.6666666666666666
French,speech,long,3,0.202020202020202,0.2222222222222222,0.08846153846153847,0.05,1.6666666666666667,0.3333333333333333,0.0
